,name,rating,salary,reviews
363,ICICI Securities,3.7,8.2k,746
364,Shriram City,4.1,6.9k,588
365,Myntra,4.1,8.8k,9
366,Kansai Nerolac Paints,3.9,6.3k,1.5k
367,Shell,4.3,10.9k,16.2k
368,Force Motors,3.5,7.6k,101
369,Cadila Pharmaceuticals,3.3,6.6k,215
370,Sterling & Wilson,4.1,8.5k,603
371,BT Group,4.1,10.8k,2
372,Shahi Exports,4.1,7k,1.5k
373,JCB,4.0,8.2k,7.9k
374,ITC Hotels,4.1,5.9k,47
375,3i Infotech,3.5,10.7k,37
376,Blinkit,3.8,8.1k,626
377,Endurance Technologies,3.8,7k,9
378,Bharti AXA Life Insurance,3.9,5.3k,1.5k
379,Kyndryl,4.0,12.5k,8.2k
380,Delphi TVS,3.9,5.6k,1.4k
381,Taurus BPO Services,4.7,613,5.6k
382,Brakes India,4.0,6.5k,52
383,Lodha group,4.1,7.3k,--
384,ZS,3.6,12.4k,715
385,Bharat Petroleum,4.1,6.8k,--
386,Future Generali India Life Insurance,3.8,6.6k,1.4k
387,JK Tyres,3.8,6.4k,613
388,Syngene International,3.9,9.5k,12
389,Sobha,4.0,7.6k,4
390,Fujitsu,4.0,13.7k,555
391,Tata Motors Finance,4.2,4.3k,6
392,Coromandel International,4.1,6.6k,1.4k
393,Aavas Financiers,4.0,5.2k,6.5k
394,café Coffee day,4.0,4.7k,39
395,MSN Laboratories,3.8,6.2k,2
396,Tata Elxsi,4.0,13.2k,714
397,Bureau Veritas,3.9,7.3k,--
398,Mahindra Rural Housing Finance,4.1,3.9k,1.4k
399,Gabriel India,4.2,5.2k,7.3k
400,Movate,3.6,8.4k,1.3k
401,Thomson Reuters,4.1,10.8k,8.4k
402,suzuki motor gujarat,4.2,5.8k,144
403,Care Health Insurance,3.8,6.6k,44
404,Indian Navy,4.6,4k,525
405,Sopra Steria,4.0,13.1k,--
406,Honda,4.1,6.1k,1.3k
407,Big Bazaar,4.2,5k,10.8k
408,GVK Emergency Management and Research Institute,3.7,4.2k,45
409,Ninjacart,3.9,5.6k,4
410,Adani Wilmar,4.2,5.8k,659
411,Lucas-TVS,4.0,5.7k,--
412,UpGrad,4.1,6.1k,1.3k
413,Power Mech Projects,3.8,6.4k,5.8k
414,CAMS,3.6,6.5k,77
415,RMSI,3.8,6.8k,5
416,Parle Products,3.9,4.6k,511
417,SAP,4.3,13.1k,--
418,TVS Sundram Fasteners,3.7,6.7k,1.3k
419,Jindal Stainless,4.2,7.9k,6.6k
420,Motilal Oswal Financial Services,3.6,8.5k,1.3k
421,Canara HSBC Life Insurance,3.8,5.3k,8.5k
422,Unacademy,3.4,7.7k,92
423,Cisco,4.4,15.3k,118
424,ValueLabs,3.8,14.3k,440
425,Uflex,3.8,6.3k,1
426,Exide Life Insurance,3.8,5.7k,1.3k
427,PHN Technology,4.6,133,5.3k
428,Citicorp,3.8,16.5k,58
429,Tata Capital Financial Services,4.2,5.3k,26
430,Renault Nissan Technology & Business Centre India,3.8,12.7k,528
431,IDBI Bank,3.8,5.9k,1
432,NoBroker,3.4,6.3k,1.3k
433,Wockhardt,3.9,4.8k,7.7k
434,Fincare Small Finance Bank,4.0,5.7k,109
435,BA Continuum,4.3,10.5k,146
436,Laurus Labs,4.2,5.8k,393
437,Bank of Baroda,3.6,6.1k,30
438,AECOM,4.2,5.4k,1.3k
439,Star Health & Allied Insurance,3.9,6.5k,15.3k
440,AXA Business Services,3.8,7.4k,1.3k
441,XL Dynamics,3.4,3.5k,7.4k
442,Vedantu,3.3,8.5k,42
443,Hindustan Aeronautics,4.3,4.1k,23
444,Citibank,4.0,14.5k,598
445,Xoriant,4.0,9.2k,5
446,VVDN Technologies,3.7,8.2k,1.3k
447,MetLife,4.4,7.8k,3.5k
448,Bhushan Power & Steel,4.0,5.4k,88
449,Dr Lal PathLabs,4.2,4.2k,--
450,Vardhman Fabrics,4.1,5.5k,340
451,DBS Bank,3.9,10.5k,--
452,PhonePe,4.1,6.7k,1.3k
453,CMA CGM,4.1,8.2k,8.5k
454,Kotak Securities,3.7,7.9k,150
455,Novartis,4.1,7.7k,139
456,Tata Play,4.1,5k,496
457,Philips,3.9,9.4k,6
458,Sify Technologies,4.0,8.8k,1.3k
459,Akums Drugs & Pharmaceuticals,4.0,5.5k,4.1k
460,Narayana Health,4.2,5.3k,1.2k
461,Harman Connected Services,3.7,14.7k,5.3k
462,Reliance General Insurance,3.8,6.6k,30
463,Hero FinCorp,4.2,4.5k,94
464,Honeywell Automation,3.9,10.4k,515
465,Quest Global,3.6,13.7k,--
466,Aragen Life Sciences,4.1,5.2k,1.2k
467,Yamaha Motor,4.0,6.2k,14.7k
468,HERE Technologies,3.8,7.5k,71
469,Straive,3.6,7.7k,14
470,Adani Power,3.9,6.3k,456
471,BT Global Services,4.1,7.9k,5
472,SGS,4.0,5.5k,1.2k
473,Intellect Design Arena,4.0,10.6k,6.6k
474,Crisil,3.8,10.2k,51
475,Meesho,3.7,5.6k,1
476,Sigma Electric Manufacturing Corporation,4.0,4.3k,455
477,Amazon Transportation Services,4.2,4.1k,--
478,Microland,3.6,10.9k,1.2k
479,Allsec Technologies,3.9,6k,4.5k
480,SBI General Insurance,3.9,4.5k,1.2k
481,Safexpress,4.1,5k,4.5k
482,Metro,4.2,4.9k,64
483,CMS Infosystems,3.6,4.4k,--
484,ABC,3.9,26.9k,398
485,Biological E,4.2,5.5k,5
486,TCE,3.7,6.9k,1.2k
487,Reckitt Benckiser,4.1,6.1k,5k
488,YASH Technologies,3.9,14.6k,60
489,NCR Corporation,4.0,8.2k,--
490,Spark Minda,3.8,4.3k,392
491,Exotic Learning,4.6,322,21
492,Microsoft Corporation,4.2,16.1k,1.2k
493,Oberoi Group of Hotels,4.2,4.6k,4.9k
494,Exl India,3.7,9.8k,32
495,Piramal Group,4.0,5k,--
496,KONE,4.2,5.3k,529
497,Cavinkare,4.1,4.9k,--
498,ESAF Microfinance & Investments (P),3.9,5.6k,1.2k
499,G R Infraprojects,4.1,5.1k,4.4k
500,Procter & Gamble,4.2,5.5k,1.2k
